protein,pfam_name,pfam_accession,evalue,score
NP_414757.1,SIS_2,PF13580,1.5e-30,106.6
NP_414757.1,SIS,PF01380,1.3e-08,35.3
NP_414758.1,GATase_4,PF13230,2.7e-110,368.2
NP_414759.1,YkuD,PF03734,1.1e-08,36.4
NP_414760.1,YafQ_toxin,PF15738,1.5e-31,109.2
NP_414761.1,RelB,PF04221,1.4e-34,118.4
NP_414762.1,NLPC_P60,PF00877,2.3e-33,114.9
NP_414766.1,IMS,PF00817,5.5e-51,173.0
NP_414766.1,IMS_C,PF11799,1.5e-14,54.9
NP_414766.1,IMS_HHH_1,PF21999,5.8e-12,46.5
NP_414766.1,IMS_HHH,PF11798,1.6e-08,34.9
NP_414767.1,PhdYeFM_antitox,PF02604,1.8e-07,31.4
NP_414768.1,YafO_toxin,PF13957,1.1e-39,135.1
NP_414769.1,Acetyltransf_10,PF13673,9.9e-22,77.9
NP_414769.1,Acetyltransf_7,PF13508,5.6e-12,46.5
NP_414769.1,Acetyltransf_1,PF00583,1.1e-08,35.9
NP_414772.1,Peptidase_M20,PF01546,4.3e-16,60.0
NP_414772.1,M20_dimer,PF07687,2.8e-13,50.3
NP_414773.1,Pribosyltran,PF00156,4.4e-17,62.4
NP_414774.1,FrsA-like,PF06500,2e-249,827.8
NP_414776.1,Porin_1,PF00267,1.1e-151,505.6
NP_414776.1,Porin_4,PF13609,8.2e-23,82.3
NP_414777.1,AA_kinase,PF00696,2.1e-47,162.4
NP_414777.1,PUA,PF01472,4.5e-22,78.4
NP_414778.1,Aldedh,PF00171,1.5e-20,73.8
NP_414779.1,CbtA_toxin,PF06755,4.8e-37,126.4
NP_414780.1,CbeA_antitoxin,PF06154,5.3e-49,165.6
NP_414781.1,RadC,PF04002,5.7e-48,162.4
NP_414782.1,Antirestrict,PF03230,2e-39,134.2
NP_414783.1,DUF905,PF06006,4.9e-43,145.6
NP_414784.1,YfjT,PF27224,1.9e-34,119.1
NP_414785.4,YfjS_YafY,PF20494,2.3e-64,215.1
NP_414786.4,DUF932,PF06067,9.1e-53,179.9
NP_414787.4,MMR_HSR1,PF01926,8.6e-16,58.7
NP_414787.4,Dynamin_N,PF00350,1.1e-09,39.1
NP_414788.1,LysR_substrate,PF03466,3.7e-28,98.9
NP_414788.1,HTH_1,PF00126,6.4e-20,71.5
NP_414790.1,HTH_38,PF13936,1.8e-23,82.6
NP_414790.1,rve,PF00665,1.2e-14,55.0
NP_414790.1,HTH_23,PF13384,4.5e-08,33.3
NP_414793.2,DDE_Tnp_1,PF01609,8e-36,124.3
NP_414793.2,DUF772,PF05598,3.9e-25,88.8
NP_414794.4,AA_permease,PF00324,3.8e-123,412.2
NP_414794.4,AA_permease_2,PF13520,2e-44,152.7
NP_414795.1,S-methyl_trans,PF02574,1.1e-83,281.9
NP_414796.2,ABC_tran,PF00005,6.4e-40,137.5
NP_414796.2,TOBE_2,PF08402,9.4e-14,51.9
NP_414798.1,DDE_Tnp_IS1,PF03400,2e-77,258.4
NP_414799.1,HTH_Tnp_IS1,PF12759,1.9e-30,104.8
NP_414799.1,Zn_ribbon_InsA,PF03811,3.4e-21,75.3
NP_414801.1,rve,PF00665,2.7e-21,76.3
NP_414801.1,rve_3,PF13683,1.2e-17,64.0
NP_414801.1,HTH_32,PF13565,1.9e-15,57.8
NP_414801.1,HTH_28,PF13518,1.2e-12,48.2
NP_414801.1,HTH_23,PF13384,2.7e-10,40.3
NP_414801.1,HTH_29,PF13551,2.4e-09,37.7
NP_414801.1,LZ_Tnp_IS481,PF13011,1.6e-07,32.1
NP_414801.1,HTH_21,PF13276,3e-07,31.2
NP_414802.2,DHDPS,PF00701,3.9e-85,285.7
NP_414803.1,ILVD_EDD_N,PF00920,1.8e-68,231.6
NP_414803.1,ILV_EDD_C,PF24877,4.1e-38,131.3
NP_414804.1,MFS_2,PF13347,2.9e-94,316.6
NP_414804.1,MFS_1,PF07690,4.4e-11,42.9
NP_414805.1,Glyco_hydro_43,PF04616,5.4e-104,348.2
NP_414805.1,GH43_C2,PF17851,2.4e-70,236.9
NP_414805.1,DUF1349,PF07081,4.3e-09,36.9
NP_414806.1,IclR_C,PF01614,1.5e-65,220.6
NP_414806.1,HTH_IclR,PF09339,6.9e-18,64.8
NP_414807.1,OTCace,PF00185,1.1e-54,185.4
NP_414807.1,OTCace_N,PF02729,5e-49,166.8
NP_414808.1,DDE_Tnp_IS1,PF03400,2e-77,258.4
NP_414809.1,HTH_Tnp_IS1,PF12759,1.9e-30,104.8
NP_414809.1,Zn_ribbon_InsA,PF03811,3.4e-21,75.3
NP_414811.1,YagK_YfjJ_C,PF11726,1e-53,182.6
NP_414812.1,Sigma70_ECF,PF07638,8.3e-05,23.1
NP_414813.1,UCP007319,PF27701,3.1e-113,378.5
NP_414815.1,Phage_integrase,PF00589,4.9e-17,62.8
NP_414815.1,Arm-DNA-bind_3,PF13356,1.1e-10,42.0
NP_414817.1,XdhC_C,PF13478,2.2e-20,74.1
NP_414817.1,XdhC_CoxI,PF02625,1e-20,74.0
NP_414818.1,MoCoBD_1,PF02738,6.4e-60,202.8
NP_414818.1,MoCoBD_2,PF20256,4.8e-57,194.2
NP_414818.1,Ald_Xan_dh_C,PF01315,6.7e-26,91.4
NP_414819.1,FAD_binding_5,PF00941,1.8e-41,142.4
NP_414820.1,Fer2_2,PF01799,3.5e-29,101.3
NP_414820.1,Fer2,PF00111,8.2e-11,42.3
NP_414820.1,Fer2_3,PF13085,3.2e-06,27.7
NP_414821.1,DUF1440,PF07274,7.1e-48,162.7
NP_414822.1,CxxCxxCC,PF03692,2.6e-11,44.6
NP_414824.1,EcpD_C,PF27328,5.1e-66,222.1
NP_414825.1,CooC_C,PF15976,8.1e-21,74.5
NP_414825.1,TcfC,PF16967,6.8e-19,67.8
NP_414826.1,EcpB_C,PF18649,4e-28,97.8
NP_414827.1,MatB,PF16449,1.9e-98,327.8
NP_414828.1,EcpR_N,PF27348,1.3e-21,77.5
NP_414828.1,GerE,PF00196,2.5e-11,43.6
NP_414830.1,Ribosomal_L31,PF01197,7.8e-25,87.4
NP_414832.2,HTH_Tnp_1,PF01527,3.8e-10,40.4
NP_414833.1,rve,PF00665,8.8e-28,97.1
NP_414833.1,rve_2,PF13333,5.4e-22,78.2
NP_414833.1,HTH_21,PF13276,9.4e-12,45.6
NP_414833.1,rve_3,PF13683,2.3e-09,37.5
NP_414835.2,DUF417,PF04224,1.1e-80,269.9
NP_414837.2,YdgH_BhsA-like,PF07338,3.9e-11,43.4
NP_414838.2,Pyr_redox_2,PF07992,1.6e-61,208.9
NP_414838.2,Pyr_redox_dim,PF02852,1.6e-29,102.9
NP_414838.2,Pyr_redox,PF00070,3e-24,85.9
NP_414838.2,DAO,PF01266,1.2e-09,38.7
NP_414838.2,Pyr_redox_3,PF13738,3.1e-08,33.8
NP_414838.2,3HCDH_N,PF02737,2.7e-07,31.2
NP_414838.2,GIDA,PF01134,2.7e-05,24.0
NP_414839.1,HTH_18,PF12833,5.7e-23,81.6
NP_414839.1,Cupin_6,PF12852,1.1e-18,68.2
NP_414839.1,HTH_AraC,PF00165,1.2e-14,54.5
NP_414840.1,CCG,PF02754,3.2e-34,117.5
NP_414841.1,LUD_dom,PF02589,2.5e-52,178.0
NP_414841.1,Fer4_8,PF13183,2.1e-14,54.4
NP_414841.1,LutB_C,PF11870,1.4e-09,38.8
NP_414841.1,Fer4_10,PF13237,1.6e-08,34.9
NP_414841.1,Fer4_17,PF13534,9.7e-07,29.8
NP_414841.1,Fer4_2,PF12797,3.6e-06,27.2
NP_414841.1,Fer4,PF00037,8.8e-05,22.7
NP_414842.4,LUD_dom,PF02589,2.5e-30,106.2
NP_414845.1,GMC_oxred_N,PF00732,1.3e-63,215.3
NP_414845.1,GMC_oxred_C,PF05199,3e-41,141.8
NP_414846.1,Aldedh,PF00171,1.1e-180,601.8
NP_414847.3,TetR_C_6,PF13977,3.5e-30,105.1
NP_414847.3,TetR_N,PF00440,7.9e-15,55.0
NP_414848.1,BCCT,PF02028,5.5e-176,586.3
NP_414849.1,EAL,PF00563,5.5e-61,206.5
NP_414849.1,GerE,PF00196,1.4e-07,31.6
NP_414850.1,LysR_substrate,PF03466,7.1e-23,81.7
NP_414850.1,HTH_1,PF00126,1.2e-18,67.4
NP_414851.1,DUF1097,PF06496,4.2e-27,95.6
NP_414852.1,Ank_4,PF13637,4.1e-27,94.2
NP_414852.1,Ank_2,PF12796,1.2e-26,93.6
NP_414852.1,Ank,PF00023,3.3e-23,81.0
NP_414852.1,Ank_3,PF13606,8.2e-18,63.0
NP_414852.1,Ank_5,PF13857,7.2e-17,61.9
NP_414853.1,AllH,PF11392,6.6e-29,101.3
NP_414854.1,Ligase_CoA,PF00549,7.9e-34,117.2
NP_414854.1,HMA_AllF_N,PF27530,2.2e-32,112.2
NP_414854.1,CoA_binding,PF02629,1e-12,49.2
NP_414855.1,AllG,PF06545,2.2e-89,299.1
NP_414857.1,AA_kinase,PF00696,7.9e-23,82.0
NP_414858.1,Amidohydro_3,PF07969,7.9e-19,69.1
NP_414858.1,Amidohydro_1,PF01979,4.6e-07,30.0
NP_414859.1,ADH_zinc_N,PF00107,6.7e-28,97.8
NP_414859.1,ADH_N,PF08240,7e-27,94.3
NP_414859.1,ADH_zinc_N_2,PF13602,5.8e-07,31.1
NP_414859.1,AlaDh_PNT_C,PF01262,4.3e-06,26.9
NP_414862.1,LysE,PF01810,8.6e-60,202.1
NP_414863.1,YdgH_BhsA-like,PF07338,4.3e-13,49.7
NP_414864.1,Sigma54_activat,PF00158,1.3e-65,220.8
NP_414864.1,PrpR_N,PF06506,1.5e-53,181.5
NP_414864.1,Sigma54_activ_2,PF14532,1.2e-14,55.4
NP_414864.1,AAA_lid_14,PF25601,1.5e-12,47.7
NP_414864.1,HTH_8,PF02954,1.7e-10,41.1
NP_414864.1,Mg_chelatase,PF01078,8.1e-05,22.7
NP_414865.1,PEP_mutase,PF13714,7e-45,154.1
NP_414865.1,ICL,PF00463,3.8e-14,52.7
NP_414867.1,Citrate_synt,PF00285,3.6e-128,428.1
NP_414868.1,MmgE_PrpD_N,PF03972,1.7e-97,326.1
NP_414868.1,MmgE_PrpD_C,PF19305,6.6e-60,202.4
NP_414869.1,AMP-binding,PF00501,2.2e-75,254.4
NP_414869.1,AMP-binding_C,PF13193,2.9e-24,86.3
NP_414869.1,ACAS_N,PF16177,3.6e-23,81.7
NP_414870.1,Transp_cyt_pur,PF02133,7e-86,289.3
NP_414871.1,Amidohydro_3,PF07969,1e-68,233.6
NP_414871.1,Amidohydro_1,PF01979,2.2e-15,57.4
NP_414872.3,LysR_substrate,PF03466,3.3e-53,180.7
NP_414872.3,HTH_1,PF00126,2e-28,98.7
NP_414872.3,HTH_30,PF13556,1.3e-06,28.7
NP_414873.1,Pro_CA,PF00484,8.3e-49,166.4
NP_414874.1,Cyanate_lyase,PF02560,2.7e-31,107.8
NP_414874.1,CYNS_N,PF21291,1.3e-28,99.3
NP_414875.1,MFS_1,PF07690,5.2e-28,98.5
NP_414875.1,MFS_4,PF06779,4.6e-06,26.8
NP_414875.1,Sugar_tr,PF00083,5.8e-06,26.0
NP_414876.1,Hexapep,PF00132,2.1e-16,59.4
NP_414876.1,Mac,PF12464,5.4e-11,43.2
NP_414876.1,Hexapep_2,PF14602,2.3e-10,40.6
NP_414877.1,LacY_symp,PF01306,1.3e-205,683.5
NP_414877.1,MFS_1,PF07690,7.2e-23,81.6
NP_414877.1,MFS_1_like,PF12832,1.5e-21,77.6
NP_414878.1,Glyco_hydro_2_C,PF02836,1.1e-128,429.2
NP_414878.1,Glyco_hydro_2_N,PF02837,2.2e-91,304.9
NP_414878.1,Bgal_small_N,PF02929,5.4e-62,210.3
NP_414878.1,LacZ_4,PF16353,1.2e-22,80.5
NP_414878.1,Glyco_hydro_2,PF00703,6.5e-15,56.4
NP_414879.3,Peripla_BP_3,PF13377,3e-31,109.3
NP_414879.3,LacI,PF00356,1.1e-23,83.3
NP_414879.3,Peripla_BP_1,PF00532,3.1e-23,83.2
NP_414879.3,Peripla_BP_4,PF13407,1e-16,61.9
NP_414880.2,HTH_IclR,PF09339,2.1e-14,53.6
NP_414880.2,IclR_C,PF01614,5.7e-13,49.4
NP_414880.2,MarR_2,PF12802,1.7e-06,28.7
NP_414880.2,GAF,PF01590,4.8e-05,24.5
NP_414880.2,HTH_24,PF13412,2.5e-05,24.3
NP_414881.1,FAD_binding_3,PF01494,1.5e-82,278.2
NP_414881.1,Pyr_redox,PF00070,9.2e-05,23.5
NP_414882.1,LigB,PF02900,6.1e-74,249.1
NP_414883.5,Abhydrolase_1,PF00561,2.9e-26,93.2
NP_414883.5,Abhydrolase_6,PF12697,1.1e-24,88.8
NP_414883.5,Hydrolase_4,PF12146,6.9e-13,49.1
NP_414884.2,FAA_hydrolase,PF01557,1.4e-30,107.1
NP_414885.1,AcetDehyd-dimer,PF09290,8.2e-61,204.9
NP_414885.1,Semialdhyde_dh,PF01118,2.2e-10,41.6
NP_414886.1,HMGL-like,PF00682,4e-70,236.8
NP_414886.1,DmpG_comm,PF07836,6.1e-31,106.4
NP_414887.2,MFS_1,PF07690,2.3e-41,142.5
NP_414887.2,Sugar_tr,PF00083,4.6e-16,59.3
NP_414887.2,MFS_4,PF06779,6.4e-06,26.3
NP_414888.4,DUF2058,PF09831,1.4e-58,198.5
NP_414889.1,Esterase,PF00756,2.6e-79,267.1
NP_414890.1,ADH_N,PF08240,3.9e-25,88.7
NP_414890.1,ADH_zinc_N,PF00107,2.1e-21,76.8
NP_414891.4,Trns_repr_metal,PF02583,6e-23,81.7
NP_414892.1,YaiO,PF19413,5.1e-27,95.5
NP_414894.2,HTH_Tnp_1,PF01527,4.6e-18,65.8
NP_414895.1,rve_3,PF13683,1e-18,67.4
NP_414895.1,rve,PF00665,1.9e-16,60.8
NP_414895.1,HTH_21,PF13276,5.2e-11,43.2
NP_414897.1,Glycos_transf_2,PF00535,5.6e-28,98.6
NP_414897.1,Glyco_tranf_2_3,PF13641,3.5e-17,63.5
NP_414897.1,Glyco_trans_2_3,PF13632,1.5e-11,45.1
NP_414898.4,PIG-L,PF02585,2.7e-25,89.9
NP_414899.2,OpuAC,PF04069,8.5e-31,108.1
NP_414899.2,NMT1_2,PF13379,9.3e-21,75.4
NP_414899.2,NMT1,PF09084,2.1e-17,64.3
NP_414899.2,Phosphonate-bd,PF12974,9.7e-09,35.5
NP_414900.1,ABC_tran,PF00005,4.4e-35,121.8
NP_414900.1,AAA_21,PF13304,3.1e-08,34.5
NP_414901.1,BPD_transp_1,PF00528,2.1e-25,90.1
NP_414902.1,TauD,PF02668,1.1e-73,249.0
NP_414903.4,ALAD,PF00490,4.2e-136,453.8
NP_414906.1,rve,PF00665,8.8e-28,97.1
NP_414906.1,rve_2,PF13333,5.4e-22,78.2
NP_414906.1,HTH_21,PF13276,9.4e-12,45.6
NP_414906.1,rve_3,PF13683,2.3e-09,37.5
NP_414907.2,HTH_Tnp_1,PF01527,3.8e-10,40.4
NP_414909.2,HTH_46,PF15977,5.8e-31,106.9
NP_414910.1,Beta-lactamase,PF00144,1e-67,229.3
NP_414911.1,SbmA_BacA,PF05992,1.1e-168,561.1
NP_414911.1,ABC_membrane_2,PF06472,9.6e-10,38.9
NP_414912.1,DUF1615,PF07759,2.9e-158,526.7
NP_414913.1,DUF2755,PF10954,3.2e-49,165.7
NP_414914.2,DUF2754,PF10953,5e-44,148.9
NP_414915.1,Dala_Dala_lig_C,PF07478,1.2e-82,277.0
NP_414915.1,Dala_Dala_lig_N,PF01820,1.6e-36,126.1
NP_414915.1,ATP-grasp,PF02222,3e-14,53.6
NP_414916.1,Anti-adapt_IraP,PF10796,4.9e-34,117.4
NP_414917.2,Alk_phosphatase,PF00245,1.7e-137,459.4
NP_414917.2,Metalloenzyme,PF01676,2.3e-07,31.1
NP_414918.4,PsiF_repeat,PF07769,8.5e-34,115.7
NP_414919.1,GGDEF,PF00990,1.4e-47,162.0
NP_414919.1,MASE2,PF05230,4.6e-32,110.5
NP_414920.1,P5CR_dimer,PF14748,4.8e-40,136.6
NP_414920.1,F420_oxidored,PF03807,6.1e-25,88.3
NP_414920.1,NAD_binding_2,PF03446,7.2e-09,36.5
NP_414921.2,DUF188,PF02639,6.1e-49,165.6
NP_414922.1,SKI,PF01202,3.6e-49,167.5
NP_414922.1,AAA_18,PF13238,4.3e-07,31.0
NP_414922.1,AAA,PF00004,4.7e-06,27.7
NP_414923.1,YaiA,PF16362,5.9e-40,135.8
NP_414924.1,AroM,PF07302,1.3e-76,257.6
NP_414925.1,Ppnp,PF06865,6.6e-34,116.7
NP_414927.1,RdgC,PF04381,2e-125,418.6
NP_414928.2,ROK,PF00480,3.6e-103,345.7
NP_414928.2,Glucokinase,PF02685,2.5e-10,40.5
NP_414930.3,MFS_1,PF07690,3.8e-42,145.0
NP_414930.3,Sugar_tr,PF00083,4.9e-09,36.2
NP_414931.1,AAA_23,PF13476,7.3e-28,99.2
NP_414931.1,SbcC_Walker_B,PF13558,4.1e-14,53.2
NP_414931.1,AAA_29,PF13555,3.7e-07,30.4
NP_414932.1,SbcD_C,PF12320,2.3e-25,89.3
NP_414932.1,Metallophos,PF00149,7.3e-17,63.0
NP_414932.1,Metallophos_2,PF12850,3.4e-06,27.8
NP_414933.1,Response_reg,PF00072,8.6e-30,103.8
NP_414933.1,Trans_reg_C,PF00486,9.7e-30,103.0
NP_414934.1,HATPase_c,PF02518,2.6e-30,105.7
NP_414934.1,PhoR,PF11808,1.8e-27,96.1
NP_414934.1,HisKA,PF00512,2e-20,73.2
NP_414934.1,PAS,PF00989,1.8e-12,47.9
NP_414934.1,HATPase_c_2,PF13581,3.5e-07,30.9
NP_414934.1,PAS_8,PF13188,4.1e-05,23.9
NP_414935.1,Branch_AA_trans,PF05525,1.7e-163,545.2
NP_414936.1,AA_permease,PF00324,1.1e-115,387.6
NP_414936.1,AA_permease_2,PF13520,3.3e-37,129.0
NP_414936.1,Spore_permease,PF03845,2.2e-05,24.1
NP_414937.2,Alpha-amylase,PF00128,1.1e-83,282.5
NP_414937.2,Alpha-amylase_N,PF02903,2.3e-07,31.6
NP_414938.1,ACP_PD,PF04336,1.3e-59,202.0
NP_414939.1,Queuosine_synth,PF02547,9.8e-134,446.1
NP_414940.1,TGT,PF01702,2.7e-168,560.2
NP_414941.1,YajC,PF02699,3.4e-26,91.5
NP_414942.1,SecD-TM1,PF13721,2.8e-40,137.5
NP_414942.1,SecDF_P1_head,PF22599,4.1e-33,114.2
NP_414942.1,SecD_1st,PF21760,3.9e-30,103.7
NP_414942.1,SecD_SecF_C,PF02355,1.3e-15,57.9
NP_414942.1,MMPL,PF03176,3.1e-08,33.5
NP_414942.1,Sec_GG,PF07549,1.4e-05,25.0
NP_414943.1,SecD_SecF_C,PF02355,1.6e-70,237.0
NP_414943.1,Sec_GG,PF07549,1.1e-11,44.4
NP_414944.1,HNH,PF01844,1.2e-12,48.4
NP_414945.1,Channel_Tsx,PF03502,2.1e-84,283.8
NP_414946.4,DUF3251,PF11622,4.7e-90,300.3
NP_414947.1,ATP-cone,PF03477,4.6e-21,75.7
NP_414947.1,Zn_ribbon_NrdR,PF22811,6e-20,71.5
NP_414948.1,RibD_C,PF01872,1.3e-63,215.0
NP_414948.1,dCMP_cyt_deam_1,PF00383,2.5e-24,85.7
NP_414948.1,MafB19-deam,PF14437,1.8e-10,41.4
NP_414949.1,DMRL_synthase,PF00885,2.9e-56,189.8
NP_414950.1,NusB,PF01029,1.7e-36,126.1
NP_414951.1,AIRS,PF00586,3.9e-28,98.7
NP_414951.1,AIRS_C,PF02769,2.7e-09,38.0
NP_414952.1,PgpA,PF04608,1.1e-46,158.9
NP_414953.2,Aldo_ket_red,PF00248,5.5e-75,252.7
NP_414954.1,DXP_synthase_N,PF13292,5.1e-117,390.6
NP_414954.1,Transket_pyr,PF02779,3.8e-48,164.0
NP_414954.1,Transketolase_C,PF02780,2.6e-27,95.8
NP_414954.1,E1_dh,PF00676,8.9e-06,25.5
NP_414954.1,TPP_enzyme_C,PF02775,0.00013,22.4
NP_414955.1,polyprenyl_synt,PF00348,2.7e-59,201.0
NP_414956.1,Exonuc_VII_S,PF02609,1.9e-22,79.5
NP_414957.1,ThiI,PF02568,4.1e-82,275.2
NP_414957.1,THUMP,PF02926,1.3e-15,58.2
NP_414957.1,ThiI_fer,PF22025,1.4e-09,38.8
NP_414958.4,DJ-1_PfpI,PF01965,5.8e-50,169.9
NP_414959.1,ApbA_C,PF08546,1.5e-39,135.8
NP_414959.1,ApbA,PF02558,5.1e-27,94.9
NP_414960.2,YajQ,PF04461,1.2e-64,217.9
NP_414961.4,MFS_1,PF07690,4.2e-49,167.9
NP_414961.4,YajR_YAM,PF21987,1.2e-29,102.3
NP_414961.4,Sugar_tr,PF00083,1.3e-09,38.1
NP_414962.1,UbiA,PF01040,4.2e-62,210.3
NP_414963.1,COX4_pro,PF03626,7.2e-18,65.3
NP_414964.1,COX3,PF00510,2.3e-15,57.7
NP_414965.1,COX1,PF00115,2.3e-145,485.4
NP_414966.1,COX_ARM,PF06481,6.3e-19,68.1
NP_414966.1,COX2,PF00116,1.2e-05,25.8
NP_414967.1,MFS_1,PF07690,9e-34,117.5
NP_414967.1,Acatn,PF13000,3e-13,49.7
NP_414968.4,Lipoprotein_16,PF03923,2.5e-52,177.4
NP_414968.4,LPAM_1,PF08139,0.00074,20.4
NP_414969.4,BolA,PF01722,1.9e-28,99.1
NP_414970.1,Trigger_N,PF05697,2.6e-44,151.6
NP_414970.1,Trigger_C,PF05698,2.1e-41,142.3
NP_414970.1,FKBP_C,PF00254,3.2e-18,66.4
NP_414971.1,CLP_protease,PF00574,3.1e-89,298.3
NP_414972.1,AAA_2,PF07724,9.4e-34,117.4
NP_414972.1,zf-C4_ClpX,PF06689,9.2e-21,74.0
NP_414972.1,AAA,PF00004,3.6e-16,60.4
NP_414972.1,ClpB_D2-small,PF10431,3e-13,50.2
NP_414972.1,Mg_chelatase,PF01078,3.5e-07,30.4
NP_414972.1,AAA_5,PF07728,1.4e-06,29.0
NP_414972.1,AAA_22,PF13401,3.3e-06,28.0
NP_414972.1,MCM,PF00493,6.7e-06,26.0
NP_414973.1,Lon_C,PF05362,4.1e-95,317.8
NP_414973.1,LON_substr_bdg,PF02190,5.3e-59,200.1
NP_414973.1,AAA,PF00004,4.1e-21,76.4
NP_414973.1,Lon_lid,PF22667,1.5e-21,76.3
NP_414973.1,AAA_5,PF07728,1.1e-09,39.0
NP_414973.1,ChlI,PF13541,2.3e-06,28.1
NP_414974.1,Bac_DNA_binding,PF00216,8.3e-35,119.5
NP_414974.1,HU-HIG,PF18291,7e-07,29.9
NP_414975.1,SurA_N_3,PF13624,1.6e-53,181.4
NP_414975.1,SurA_N_2,PF13623,5.7e-39,133.8
NP_414975.1,Rotamase_2,PF13145,2.2e-33,116.2
NP_414975.1,Rotamase,PF00639,4.2e-14,53.8
NP_414975.1,Rotamase_3,PF13616,9.1e-14,52.5
NP_414976.1,HHH_3,PF12836,1.6e-18,67.1
NP_414976.1,HHH,PF00633,1.3e-07,31.7
NP_414977.1,4HBT_2,PF13279,5.9e-20,72.5
NP_414977.1,4HBT,PF03061,1.4e-12,48.3
NP_414977.1,Acyl-ACP_TE_C,PF20791,4.6e-09,37.0
NP_414977.1,Acyl-ACP_TE,PF01643,5.8e-07,29.9
NP_414978.1,QueC,PF06508,6.3e-83,278.0
NP_414978.1,Asn_synthase,PF00733,0.00029,21.2
NP_414979.1,SgrR_N,PF12793,3.2e-39,134.4
NP_414979.1,SBP_bac_5,PF00496,2.5e-17,63.6
NP_414980.2,Hydrolase_3,PF08282,5.5e-50,171.1
NP_414980.2,S6PP,PF05116,1.7e-18,67.7
NP_414980.2,Hydrolase,PF00702,1.6e-09,39.0
NP_414981.4,AsnC_trans_reg,PF01037,5.8e-27,94.0
NP_414981.4,HTH_24,PF13412,2.6e-17,62.7
NP_414981.4,HTH_AsnC-type,PF13404,1.3e-16,60.7
NP_414982.1,ABC_membrane,PF00664,1.7e-36,126.9
NP_414982.1,ABC_tran,PF00005,7.6e-31,108.1
NP_414983.1,ABC_membrane,PF00664,4.3e-41,142.0
NP_414983.1,ABC_tran,PF00005,2e-31,110.0
NP_414984.1,P-II,PF00543,5.1e-32,110.8
NP_414985.1,Ammonium_transp,PF00909,3.8e-133,444.7
NP_414986.1,Acyl_CoA_thio,PF02551,3e-68,228.3
NP_414986.1,4HBT_3C,PF20789,2.1e-24,86.9
NP_414986.1,4HBT_3,PF13622,2.3e-19,70.0
NP_414987.3,YscW,PF09619,2.7e-39,134.3
NP_414988.1,DNA_binding_1,PF01035,5e-27,94.1
NP_414989.1,DUF1428,PF07237,2.6e-48,163.1
NP_414990.2,EAL,PF00563,3.6e-66,223.5
NP_414990.2,CSS-motif,PF12792,1.5e-53,181.9
NP_414991.4,YlaC,PF10777,1.5e-70,236.5
NP_414992.1,Mac,PF12464,6.3e-18,65.4
NP_414992.1,Hexapep,PF00132,2.6e-14,52.8
NP_414992.1,Hexapep_2,PF14602,2.9e-13,49.9
NP_414993.1,HHA,PF05321,9.1e-40,135.3
NP_414994.1,YbaJ,PF10757,1.1e-65,220.1
NP_414995.1,ACR_tran,PF00873,0.0,1466.1
NP_414995.1,SecD_SecF_C,PF02355,3.8e-06,27.0
NP_414996.1,Beta-barrel_RND,PF25944,8.3e-36,122.9
NP_414996.1,BSH_RND,PF25917,6.5e-30,103.4
NP_414996.1,RND-MFP_C,PF25967,1.5e-27,95.9
NP_414996.1,HH_MFP_RND,PF25876,3.2e-27,95.2
NP_414997.1,TetR_C_2,PF08361,2.5e-53,179.8
NP_414997.1,TetR_N,PF00440,1.4e-19,70.2
NP_414998.1,MscS_TM,PF12794,2.5e-100,336.3
NP_414998.1,MscS_porin,PF12795,5.1e-61,206.9
NP_414998.1,MS_channel_2nd,PF00924,1.4e-24,86.5
NP_414998.1,MS_channel_3rd,PF21082,6.3e-22,78.4
NP_414998.1,MS_channel_1st,PF21088,3.5e-11,43.4
NP_414999.1,DUF2496,PF10689,2.9e-24,85.1
NP_415000.1,PriC,PF07445,1.5e-51,175.3
NP_415001.1,DUF454,PF04304,4.5e-42,143.3
NP_415002.1,Pribosyltran,PF00156,9.1e-15,54.9
NP_415003.1,DNA_pol3_tau_5,PF12170,8.6e-58,195.1
NP_415003.1,DNA_pol3_delta2,PF13177,2.1e-43,148.7
NP_415003.1,DNA_pol3_gamma3,PF12169,3.9e-27,95.4
NP_415003.1,DNA_pol3_tau_4,PF12168,2.1e-26,92.7
NP_415003.1,DNAX_ATPase_lid,PF22608,4.3e-25,87.8
NP_415003.1,AAA,PF00004,1.9e-11,45.1
NP_415003.1,AAA_5,PF07728,6.1e-05,23.6
NP_415004.1,YbaB_DNA_bd,PF02575,2.6e-35,121.1
NP_415005.1,Toprim_4,PF13662,1.5e-25,89.8
NP_415005.1,RecR_HhH,PF21176,1.3e-23,83.2
NP_415005.1,Toprim,PF01751,4.7e-16,59.3
NP_415005.1,RecR_C,PF21175,2e-10,40.5
NP_415005.1,RecR_ZnF,PF02132,4.9e-07,30.0
NP_415006.1,HSP90,PF00183,1.7e-126,423.8
NP_415006.1,HATPase_c_3,PF13589,5.6e-11,43.2
NP_415006.1,HATPase_c,PF02518,1.2e-08,36.0
NP_415007.1,ADK,PF00406,7.7e-61,205.2
NP_415007.1,AAA_17,PF13207,1.4e-28,100.5
NP_415007.1,ADK_lid,PF05191,1.4e-17,63.8
NP_415008.1,Ferrochelatase,PF00762,2.1e-114,382.4
NP_415008.1,CbiX,PF01903,7.8e-05,23.5
NP_415009.1,Abhydrolase_3,PF07859,2.6e-58,197.8
